businessid,name,address,city,state,zip
10611,Pattaya Cafe,3455 Peachtree Industrial Blvd,Duluth,GA,30096
10612,Mediterranean Breeze,20693 Ashburn Road,Ashburn,VA,20147
10613,New York Deli,4926 Edgewood Road,College Park,MD,20740
10614,Smith Commons,1245 H Street Ne,Washington,DC,20002
10615,El Don Mexican Bar and Grill,6320 Atlanta Hwy Suite 104,Roswell,GA,30004
10616,Pizzarro,467 Florida Ave Nw,Washington,DC,20001
10617,Top Clay Pot,3492 Satellite Blvd,Duluth,GA,30096
10619,Harue Food and Cafe,3585 Peachtree Industrial Blvd,Duluth,GA,30096
10620,DCUBAN Cafe,6200 Buford Hwy Suite L,Norcross,GA,30071
10621,Hudson Grille Alpharetta,865 North Main St,Alpharetta,GA,30009
10622,Hudson Grille Tucker,2075 Northlake Pkwy,Tucker,GA,30084
10623,BGR The Burger Joint Fredrick,7810 Wormans Mill Rd G,Frederick,MD,21701
10624,Szechuan Chinese Restaurant,1721 Route 27,Somerset,NJ,8873
10625,Abbeys Real Texas BBQ,6904 Miramar Rd,San Diego,CA,92121
10626,JJ Wedding and Photography,251 09 Northern Blvd,Little Neck,NY,11362
10627,Natural Health Center,Arcadia Westfield Mall,Arcadia,CA,91007
10628,GT Garage,1625 E45Th St ,Cleveland,OH,44103
10629,SR PETRO,2008 W Center St ,Milwaukee,WI,53206
10630,Burger King  Coral Springs,10494 West Sample Road,Pompano Beach,FL,33065
10631,Burger King  Coral Springs,9373 West Atlantic Boulevard,Pompano Beach,FL,33071
10632,Burger King  Coral Springs,Maplewood Plaza 1150 University Drive,Pompano Beach,FL,33071
10634,Tandoor E India,1610 State Hwy 35 South,Oakhurst,NJ,7755
10635,Musiro Korean Cuisine,2625 Old Denton,Carrollton,TX,75007
10636,Pescada,509 Ave P,Brooklyn,NY,11230
10637,Tuk Tuk Thai Take Out,4031 Dempster St,Skokie,IL,60076
10638,El Atlacatl,466 Sw 17Th Ave,Miami,FL,33135
10639,L C Asian Restaurant,47 49 Billings Rd,Quincy,MA,2171
10646,Best Wingers,711 2Nd Ave,New York,NY,10016
10647,Detroit Coney Grill  Phoenix,16 W Adams St,Phoenix,AZ,85003
10648,La Femme Du Fromage,3201 Corrine Dr,Orlando,FL,32803
10649,Redlight Redlight,2810 Corrine Dr,Orlando,FL,32803
10650,Rafic s Falafel,6905 Schaefer Rd,Dearborn,MI,48126
10652,3E Taste Of Thai,34 16 Broadway,Astoria,NY,11106
10653,Sweet Tree,42757 Woodward Ave,Bloomfield Hills,MI,48304
10654,Tessers Deli,7491 North Federal Highway Boca Valley Plaza,Boca Raton,FL,33487
10655,Juniper on the Water,1975 S Ocean Dr,Hallandale,FL,33009
10656,Penguin Ice Cream,143B Hester Street,New York,NY,10002
10657,Bisuteki Japanese Steakhouse,407 Squire Road,Revere,MA,2151
10658,Pinot s Palette Estero,23050 Via Villagio Ste 109,Estero,FL,33928
10659,Amis,9824 Manchester Rd,Saint Louis,MO,63119
10660,J J Asian Bistro,1706 Rock Prairie Rd W,College Station,TX,77845
10661,Yus Bistro,658 S Rt 59,Naperville,IL,60540
10662,Rice  Curry Cuisine,712 7Th Street,Galveston,TX,77550
10663,Ephesus Mediterranean  Turkish Cuisine,514 Park Blvd,Massapequa Park,NY,11762
10664,Nile Ethiopian Restaurant,2130 Magazine St,New Orleans,LA,70130
10665,Brothers Restaurant,404 Harvard St ,Brookline,MA,2446
10666,CCs Cafe,"41 Monroe St 	",New York,NY,10002
10667,Emerald City Fish  Chips,3756 Rainier Ave S,Seattle,WA,98144
10668,Khana Peena  College,5316 College Ave,Oakland,CA,94618
10673,Sea Monster Lounge,2202 N 45Th St,Seattle,WA,98103
10674,Sud Italia Ristorante,2347 University Blvd,Houston,TX,77005
10675,Twisterz Frozen Dessert,1229 E Mckellips Rd  108,Mesa,AZ,85203
10676,Double D s BBQ,634 Barnes Blvd  110,Rockledge,FL,32955
10677,East Bay Spice Company,2134 Oxford St,Berkeley,CA,94720
10678,Rocky s Pizza Restaurant,10310 Wilmington Dr,Huntersville,NC,28078
10679,The Phoenix Ale Brewery,3002 E Washington St,Phoenix,AZ,85034
10680,The Pearl,3000 Old Alabama Rd Ste 1,Roswell,GA,30076
10681,Blondies Pizza,2340 Telegraph Ave,Berkeley,CA,94704
10682,Tatore Ristorante Italiano,15180 Biscayne Blvd,North Miami Beach,FL,33160
10683,Golden Eagle Bar  Grill,1447 N Rochester Rd,Rochester,MI,48307
10684,Pazza Bistro,7210 Us Highway 19 N,Pinellas Park,FL,33781
10685,2941 Street Food,87 W Auburn Rd,Rochester,MI,48307
10686,Cheen Huaye,15400 Biscayne Blvd,North Miami Beach,FL,33160
10687,5 Girls Burgers,2659 East Atlantic Ave,Pompano Beach,FL,33062
10688,Italian 101,17082 Collins Ave,North Miami Beach,FL,33160
10689,Hair mode,42 35 Main Street,Flushing,NY,11355
10690,Red Pepper Restaurant,1083 Main Street,Worcester,MA,1603
10691,MISSION CLEANER,512 S Garfield Ave,Alhambra,CA,91801
10692,BBQ KING,5650 W Spring Mountain Rd  A,Las Vegas,NV,89146
10693,China Express,3932 D West Market St ,Greensboro,NC,27407
10694,Chilli Garden,41 Riverside Avenue ,Medford,MA,2155
10695,Bisuteki Tokyo Japanese Steak House  Cambridge MA,777 Memorial Drive,Cambridge,MA,2139
10696,SUSHI ZEN,2457 N Harrison St,Arlington,VA,22207
10697,Myung Ga Won,4400 Rittiman Rd,San Antonio,TX,78218
10698,Small House Chinese Restaurant Yummy City,1120 W University Ave,Gainesville,FL,32601
10699,Thai 99 II Restaurant,915 Gardens Blvd,Charlottesville,VA,22901
10700,Miss Saigon Cafe,932 Melbourne Rd,Hurst,TX,76053
10701,Una Mas Mexican Grill,224 Redwood Shores Pkwy,Redwood City,CA,94065
10702,Fazolis,13201 Fm 620 N,Austin,TX,78727
10703,Delhi Darbar,62B Airport Blvd,Morrisville,NC,27560
10704,Asian Fusion,44260 Ice Rink Plz Ste 106,Ashburn,VA,20147
10705,Khana Peena  Solano,1889 Solano Ave,Berkeley,CA,94707
10706,La Patisserie,627 N Main St ,Mooresville,NC,28115
10707,La Patisserie Bakery,631 Brawley School Rd Ste 406,Mooresville,NC,28117
10708,Rookies Neighborhood Sports Grill,3668 W Anthem Way Ste B132,Phoenix,AZ,85086
10709,The Greenwood Village Cafe,8923 E Union Ave,Englewood,CO,80111
10710,Mediterranean Delight,726 South Hill Street,Los Angeles,CA,90014
10712,Kai Bistro,1057 MacArthur Blvd,San Leandro,CA,94577
10713,My Deli and Cafe,860 East Main Street,Purcellville,VA,20132
10714,C Era Una Volta,1332 Park St,Alameda,CA,94501
10715,Tacos on the Run,2905 Jordan CT,Alpharetta,GA,30022
10716,Mango s Caribbean Restaurant,180 Auburn Ave NE,Atlanta,GA,30303
10717,Lonni s sandwiches,1153 Main Street,Dunedin,FL,34698
10718,Mediterranean Efes Bistro Fish  Grill House,8903 Galdes Rd D7,Boca Raton,FL,33434
10719,La Montarana,18851 NE 29th Ave,Miami,FL,33180
10720,Old Cape Cod Kitchen,1479 Belcher Road S,Largo,FL,33771
10721,Terra Mar Brazilian Steakhouse,6715 49th Street N,Pinellas Park,FL,33781
10722,Asia One,1355 S Main St,Fall River,MA,2724
10723,Knapp St Pizza,2159 Knapp Street,Brooklyn,NY,11229
10724,Ancient Kabob House,1632 Carl D Silver Pkwy,Fredericksburg,VA,22401
10725,Aladdins Cafe,111 W Market St,New Albany,IN,47150
10726,Hachi,4275 County Line Rd,Chalfont,PA,18914
